model,provider,reasoning,K,item_id,grid_id,qtype,target_prompt,gold,raw,parsed,correct,input_tokens,output_tokens,cached,error
gpt-4.1-mini,openai,direct,0,0,e688ab5dc5,POINT,"What token is at row 5, column 0?",Y,Y,Y,1,151,1,1,
gpt-4.1-mini,openai,direct,0,1,6cd6465903,LOOKUP,"What is the (row, column) of the first 'G' in row-major order?","(1, 0)","(1, 0)","(1, 0)",1,158,6,1,
gpt-4.1-mini,openai,direct,0,2,94438ecc09,COUNT,How many cells contain the token 'Y'?,4,5,5,0,149,1,1,
gpt-4.1-mini,openai,direct,0,3,18298117c2,ROWMAX,"Which row index has the most non-empty cells? (If tied, give the smallest row index.)",1,2,2,0,159,1,0,
gpt-4.1-mini,openai,direct,0,4,6c80328453,NEIGHBOR,"What token is directly to the right of the cell at row 1, column 3?",.,.,.,1,158,1,0,
gpt-4.1-mini,openai,direct,0,5,cd5f369e50,POINT,"What token is at row 3, column 5?",.,.,.,1,151,1,0,
gpt-4.1-mini,openai,direct,0,6,846f3da6d0,LOOKUP,"What is the (row, column) of the first 'B' in row-major order?","(1, 2)","(1, 2)","(1, 2)",1,158,6,0,
gpt-4.1-mini,openai,direct,0,7,53097a9144,COUNT,How many cells contain the token 'B'?,3,4,4,0,149,1,0,
gpt-4.1-mini,openai,direct,0,8,2d0e045d8d,ROWMAX,"Which row index has the most non-empty cells? (If tied, give the smallest row index.)",4,4,4,1,160,1,0,
gpt-4.1-mini,openai,direct,0,9,20557c8359,NEIGHBOR,"What token is directly to the right of the cell at row 1, column 3?",B,Y,Y,0,158,1,0,
gpt-4.1-mini,openai,direct,0,10,4d00b0c48a,POINT,"What token is at row 0, column 0?",.,.,.,1,151,1,0,
gpt-4.1-mini,openai,direct,0,11,e21ba504f7,LOOKUP,"What is the (row, column) of the first 'Y' in row-major order?","(3, 6)","(3, 6)","(3, 6)",1,162,6,0,
gpt-4.1-mini,openai,direct,0,12,4c57774168,COUNT,How many cells contain the token 'B'?,1,2,2,0,149,1,0,
gpt-4.1-mini,openai,direct,0,13,a7b865f7a7,ROWMAX,"Which row index has the most non-empty cells? (If tied, give the smallest row index.)",4,4,4,1,159,1,0,
gpt-4.1-mini,openai,direct,0,14,755b28b658,NEIGHBOR,"What token is directly to the right of the cell at row 3, column 1?",.,.,.,1,159,1,0,
gpt-4.1-mini,openai,direct,0,15,892d63ec1d,POINT,"What token is at row 6, column 5?",G,G,G,1,152,1,0,
gpt-4.1-mini,openai,direct,0,16,21108a3e6b,LOOKUP,"What is the (row, column) of the first 'B' in row-major order?","(1, 1)","(1, 1)","(1, 1)",1,158,6,0,
gpt-4.1-mini,openai,direct,0,17,0462f8fe2d,COUNT,How many cells contain the token 'R'?,3,4,4,0,149,1,0,
gpt-4.1-mini,openai,direct,0,18,5dcfa1586a,ROWMAX,"Which row index has the most non-empty cells? (If tied, give the smallest row index.)",2,2,2,1,159,1,0,
gpt-4.1-mini,openai,direct,0,19,8271e98d8f,NEIGHBOR,"What token is directly to the right of the cell at row 0, column 4?",.,.,.,1,158,1,0,
gpt-4.1-mini,openai,direct,0,20,4675f31b4f,POINT,"What token is at row 5, column 3?",.,.,.,1,151,1,0,
gpt-4.1-mini,openai,direct,0,21,d88fe42d7b,LOOKUP,"What is the (row, column) of the first 'R' in row-major order?","(4, 2)","(4, 2)","(4, 2)",1,158,6,0,
gpt-4.1-mini,openai,direct,0,22,2c8d39515e,COUNT,How many cells contain the token 'R'?,3,5,5,0,149,1,0,
gpt-4.1-mini,openai,direct,0,23,dca8a9aa3c,ROWMAX,"Which row index has the most non-empty cells? (If tied, give the smallest row index.)",1,2,2,0,164,1,0,
gpt-4.1-mini,openai,direct,0,24,b03471cca9,NEIGHBOR,"What token is directly to the right of the cell at row 2, column 1?",.,.,.,1,160,1,0,
